uuid,age,age_band,sex,district,occupation,time_slot,day_type,reason
137bfe75aaf24de08cf55b6a8c96c682,39,30대,여,경기-용인시 수지구,해외 영업원,14-17,주말,"밀라노 가구 박람회, 유럽 빈티지 소품 수집 등 고급 리빙·디자인에 대한 관심 뚜렷. 코엑스 백화점·전시 프로그램과 부합. 주말 오후 선호"
2546e5438b83455695bcf7af3f77fb85,77,60대+,여,경기-고양시 일산서구,그 외 기능 관련 종사원,11-14,주말,친구들과의 백화점 쇼핑을 즐기는 활동적인 70대. 코엑스 현대백화점 방문 가능성. 주말 낮 선호
02ce9b5398d9429dad6dbf3952390c56,21,20대,여,경기-화성시,무직,14-17,주말,"신상 베이커리 카페 투어, 캐릭터 굿즈 수집 등 트렌드 소비에 적극적인 20대. 코엑스 팝업·쇼핑 콘텐츠 관심 가능성. 주말 오후 선호"
2cc07b0427cc48be86980ec1bdf58494,33,30대,여,서울-동대문구,무직,14-17,주말,국립중앙박물관 전시 관람 등 문화생활을 즐기는 서울 거주자. 코엑스 컨벤션·전시 프로그램 관심 가능성. 주말 오후 선호
1f094fe2f97f462ca560f30db8197755,27,20대,남,경기-오산시,관세행정 사무원,14-17,주말,리움미술관 전시 관람 등 문화 소비에 적극적인 성향. 코엑스 컨벤션·전시 프로그램 관심 가능성. 주말 오후 선호
9d83e8d83335456f9c1c93327d733cae,23,20대,여,경기-시흥시,사무 보조원,14-17,주말,"예술영화 관람, 테마 카페 탐방 등 문화·트렌드 소비에 적극적인 20대. 코엑스 영화관·카페 콘텐츠 관심 가능성. 주말 오후 선호"
e5734a8087fc4421a82aa9edd2732e89,31,30대,여,서울-동대문구,총무 및 인사 관리자,14-17,주말,성수동 베이커리 투어 등 트렌드 카페 소비에 적극적인 서울 거주 직장인. 코엑스 쇼핑·카페 콘텐츠 관심 가능성. 주말 오후 선호
572de5aa700641fb86773bce190af291,61,60대+,여,경기-안양시 동안구,무직,11-14,주말,국립중앙박물관 전시 관람 등 문화생활에 적극적인 성향. 코엑스 컨벤션·전시 프로그램 관심 가능성. 주말 낮 선호
3f836c3b13c340a3abeffff527e890dc,24,20대,남,경기-용인시 기흥구,양식 조리사,14-17,주말,성수동·한남동 팝업스토어 탐방 등 트렌드 소비에 매우 적극적인 20대. 코엑스 팝업·쇼핑 콘텐츠 관심 가능성 높음. 주말 오후 선호
2f0436a39c65446d890ffea9e4540cae,47,40대,남,인천-서구,사무 보조원,14-17,주말,"국립중앙박물관 전시 관람, 인테리어 소품 쇼핑 등 문화·쇼핑 소비 성향 뚜렷. 코엑스 컨벤션·전시·쇼핑 콘텐츠와 부합. 주말 오후 선호"
d3779455a442412fb2233104a5fe0714,56,50대,남,서울-마포구,공연·영화 및 음반 기획자,14-17,주말,공연·영화 기획자로 예술 축제 탐방 등 문화 콘텐츠에 대한 직업적·개인적 관심 뚜렷. 코엑스 컨벤션·전시 프로그램 관심 가능성. 주말 오후 선호
c798740c1bb74b3984af4ee04296486e,27,20대,여,경기-수원시 장안구,무직,14-17,주말,에버랜드 방문 등 대형 엔터테인먼트 시설을 즐기는 성향. 코엑스 아쿠아리움 등 체험시설 방문 가능성. 주말 오후 선호
b4d8a344c8314d4cba10f15dff650e54,39,30대,여,서울-성북구,무직,14-17,주말,"국립현대미술관 전시 관람, 플리마켓 소품 쇼핑 등 예술·쇼핑 소비 성향 뚜렷. 코엑스 컨벤션·전시 프로그램 관심 가능성. 주말 오후 선호"
4d8f4bc608044123b6f860ab54705ee5,38,30대,남,경기-성남시 분당구,조명기사,14-17,주말,"대학로 연극 관람, 서울 시티투어 등 문화생활에 적극적인 성향. 분당에서 코엑스 접근 가능. 코엑스 컨벤션·전시 프로그램 관심 가능성. 주말 오후 선호"
7c939ddbe8ff4133a7d92fc183d92e78,47,40대,여,경기-하남시,예체능 교사,14-17,주말,"베이커리 카페 투어, 테마 여행 등을 즐기는 성향. 코엑스 카페·쇼핑 콘텐츠 관심 가능성. 주말 오후 선호"
983b9205415e4d2ca623ae4a309a55e1,20,20대,여,서울-관악구,공공행정 전문가,14-17,주말,성수동·한남동 팝업스토어 투어 등 트렌드 소비에 매우 적극적인 20대. 코엑스 팝업·쇼핑 콘텐츠 관심 가능성 높음. 주말 오후 선호
7bd8bcf4b17247de9b3a552348f41d56,39,30대,여,서울-영등포구,무직,14-17,주말,서울 시내 갤러리 투어를 즐기는 문화 애호가. 코엑스 컨벤션·전시 프로그램 관심 가능성. 주말 오후 선호
49f472cdd405499e98bfe38472bed709,30,30대,남,서울-성동구,보험 중개인,17-21,평일,일식 오마카세 등 미식 소비에 적극적인 성수동 거주 직장인. 코엑스 고급 레스토랑·백화점 방문 가능성. 퇴근 후 저녁 선호
b3786df8814046188a1658237b4a4236,38,30대,남,인천-계양구,생산관리 사무원,14-17,주말,국립중앙박물관 전시 관람 등 문화생활에 적극적인 성향. 코엑스 컨벤션·전시 프로그램 관심 가능성. 주말 오후 선호
fa265b48f66e4c70bb1b0387aba49b46,21,20대,여,경기-수원시 장안구,무직,14-17,주말,최신 개봉 영화 N차 관람을 즐기는 영화 애호가. 코엑스 메가박스 방문 가능성. 주말 오후 선호
baaec41148404b4eb9c5bbca6bf8a647,43,40대,여,인천-연수구,그 외 일반 영업원,14-17,주말,"최신 팝업스토어 및 전시 관람을 즐기는 성향, 시티투어 등 도심 나들이도 즐김. 코엑스 팝업·전시 콘텐츠와 정확히 부합. 주말 오후 선호"
567763fbcaf8460ca347e59aafa8f4ed,68,60대+,남,서울-강서구,철로 설치원,11-14,주말,미술관 전시 관람 및 도슨트 투어를 즐기는 문화 애호가. 코엑스 컨벤션·전시 프로그램 관심 가능성. 주말 낮 선호
0938ccbda8f6407da6292abbc5791f74,58,50대,남,서울-송파구,"전직 경영 기획 사무원, 현재 구직중",14-17,주말,현대 미술 전시 관람 및 도슨트 투어를 즐기는 문화 애호가. 송파구에서 코엑스 접근 용이. 컨벤션·전시 프로그램 관심 가능성. 주말 오후 선호
c1893422bf614139bdf61770c713e30c,49,40대,남,서울-송파구,공공행정 사무원,14-17,주말,독립 영화 관람 등 문화생활을 즐기는 송파구 거주 싱글. 코엑스 메가박스·쇼핑 콘텐츠 관심 가능성. 주말 오후 선호
